perch_label_number,common_name,scientific_name
13949,Gray-tailed Tattler,Tringa brevipes
13951,Lesser Yellowlegs,Tringa flavipes
13954,Wandering Tattler,Tringa incana
13956,Common Greenshank,Tringa nebularia
13960,Marsh Sandpiper,Tringa stagnatilis
14114,Eurasian Blackbird,Turdus merula
14130,Song Thrush,Turdus philomelos
14216,Eastern Barn Owl,Tyto javanica
14271,Long-tailed Koel,Urodynamis taitensis
14325,Masked Lapwing,Vanellus miles
14506,Terek Sandpiper,Xenus cinereus
14618,Baillon's Crake,Zapornia pusilla
14619,Spotless Crake,Zapornia tabuensis
14731,Silvereye,Zosterops lateralis
