common_name,scientific_name,status,Perch_2.0
Shining Bronze-Cuckoo,Chalcites lucidus,,Y
Shore Plover,Thinornis novaeseelandiae,Endemic (country/region)ÿEndangered,Y
Short-tailed Shearwater,Ardenna tenuirostris,,Y
Siberian Sand-Plover,Anarhynchus mongolus,Endangered,Y
Silver Gull,Chroicocephalus novaehollandiae,,Y
Silvereye,Zosterops lateralis,,Y
Slender-billed Prion,Pachyptila belcheri,Rare/Accidental,Y
Snares Penguin,Eudyptes robustus,Rare/AccidentalÿVulnerable,Y
Snowy Albatross,Diomedea exulans,Rare/AccidentalÿVulnerable,Y
Soft-plumaged Petrel,Pterodroma mollis,Rare/Accidental,Y
Song Thrush,Turdus philomelos,Introduced species,Y
Sooty Albatross,Phoebetria fusca,Rare/AccidentalÿEndangered,
Sooty Shearwater,Ardenna grisea,Near-threatened,Y
Sooty Tern,Onychoprion fuscatus,Rare/Accidental,Y
South Georgia Diving-Petrel,Pelecanoides georgicus,,Y
South Island Oystercatcher,Haematopus finschi,Endemic (country/region),Y
South Island Saddleback,Philesturnus carunculatus,Endemic (country/region),Y
South Island Takahe,Porphyrio hochstetteri,Endemic (country/region)ÿEndangered,Y
South Polar Skua,Stercorarius maccormicki,Rare/Accidental,Y
Southern Fulmar,Fulmarus glacialoides,,Y
Southern Giant-Petrel,Macronectes giganteus,,Y
Southern Royal Albatross,Diomedea epomophora,Vulnerable,Y
Spotless Crake,Zapornia tabuensis,,Y
Spotted Dove,Spilopelia chinensis,Introduced species,Y
Spotted Shag,Phalacrocorax punctatus,Endemic (country/region),Y
Stejneger's Petrel,Pterodroma longirostris,Rare/AccidentalÿVulnerable,
Stitchbird,Notiomystis cincta,Endemic (country/region)ÿVulnerable,Y
Streaked Shearwater,Calonectris leucomelas,Rare/AccidentalÿNear-threatened,Y
Subantarctic Shearwater,Puffinus elegans,Rare/Accidental,
Sulphur-crested Cockatoo,Cacatua galerita,Introduced species,Y
Swamp Harrier,Circus approximans,,Y
Swinhoe's Storm-Petrel,Hydrobates monorhis,Rare/AccidentalÿNear-threatened,Y
Tahiti Petrel,Pseudobulweria rostrata,Rare/AccidentalÿNear-threatened,Y
